id,shipped_qty,shipment_headers_id,bl_awb_no,ship_date,po_details,purchase_item_name,purchase_item_id,po_number,unit_chg_weight_g,total_chg_weight_g,total_shipment_weight_g,total_shipment_cost_jpy,allocated_shipment_cost_jpy,unit_shipment_cost_jpy
4070a217-d06f-426a-af45-0544b268cf04,8,829221b7-e1bc-424f-821b-8652d1bf2213,DQS2952404EQ,2025/2/28,bb976c37-1b3b-4a4e-918e-c07644ab63ef,商品本体　お食事エプロン　はたらくくるま,recd2UG1uBWdKGIb3,PO-0016,285.18,2281,39070,11583,676,85
a9d587bf-b3e1-40b4-b5e3-522a8e829ad6,1,829221b7-e1bc-424f-821b-8652d1bf2213,DQS2952404EQ,2025/2/28,9f915387-cb24-4f4c-a43f-09b381d6858d,商品本体　お食事エプロン　トラ,rec7J4fctwb7CReZy,PO-0016,285.18,285,39070,11583,85,85
1a5fa583-8c1c-4c51-8ddb-eda1c16d5584,1,829221b7-e1bc-424f-821b-8652d1bf2213,DQS2952404EQ,2025/2/28,0f145399-a5d5-437c-b411-0abe50e1fe42,商品本体　お食事エプロン　オリーブ,recRJI2sL2nD7DWOg,PO-0016,285.18,285,39070,11583,85,85
004829af-51ec-4e15-b805-38d055b29be9,3,829221b7-e1bc-424f-821b-8652d1bf2213,DQS2952404EQ,2025/2/28,60241db7-3da3-4c6e-a115-9f1201f691b4,商品本体　お食事エプロン　てんとう虫,recRxRdTX0atFG6j1,PO-0016,285.18,856,39070,11583,254,85
286aad53-6833-482c-a2f3-b6e7437a4d0d,106,829221b7-e1bc-424f-821b-8652d1bf2213,DQS2952404EQ,2025/2/28,6648c6b0-417b-4a6b-8972-f707f0b30ae3,商品本体　お食事エプロン　ユニコーン,recQiqx2fKF1geIDx,PO-0019,285.18,30229,39070,11583,8962,85
9533c088-7a02-4431-b522-ecc6be803f70,1,a1e2604f-8152-4263-9f07-c679404b7388,DQS2954260EQ,2025/3/25,6648c6b0-417b-4a6b-8972-f707f0b30ae3,商品本体　お食事エプロン　ユニコーン,recQiqx2fKF1geIDx,PO-0019,285.18,285,80706,17003,60,60
bd42f030-9a8c-44dc-ba05-a83613d0818e,1,a1e2604f-8152-4263-9f07-c679404b7388,DQS2954260EQ,2025/3/25,f0e0bc6c-42c6-4e13-abe9-531593b08311,商品本体　お食事エプロン　恐竜,rec8DZQ2DuEkCb6ty,PO-0016,285.18,285,80706,17003,60,60
ec82a6cc-2730-4742-8f9c-514000e5a67e,1,a1e2604f-8152-4263-9f07-c679404b7388,DQS2954260EQ,2025/3/25,60241db7-3da3-4c6e-a115-9f1201f691b4,商品本体　お食事エプロン　てんとう虫,recRxRdTX0atFG6j1,PO-0016,285.18,285,80706,17003,60,60
91d16f93-967c-4bea-8ac4-de6206233ca5,-1,a1e2604f-8152-4263-9f07-c679404b7388,DQS2954260EQ,2025/3/25,60241db7-3da3-4c6e-a115-9f1201f691b4,商品本体　お食事エプロン　てんとう虫,recRxRdTX0atFG6j1,PO-0016,285.18,-285,80706,17003,-60,60
9326275d-f031-4df4-9f7b-55f22dfd5979,1,a1e2604f-8152-4263-9f07-c679404b7388,DQS2954260EQ,2025/3/25,0f145399-a5d5-437c-b411-0abe50e1fe42,商品本体　お食事エプロン　オリーブ,recRJI2sL2nD7DWOg,PO-0016,285.18,285,80706,17003,60,60
26f4ea40-86b8-4bfd-8076-287b63b7abf1,3,a1e2604f-8152-4263-9f07-c679404b7388,DQS2954260EQ,2025/3/25,77d73d71-2176-4306-9a9d-a034c196e0d8,商品本体　お食事エプロン　恐竜Ｂ,rec4Tag8KXQM4IyWk,PO-0016,285.18,856,80706,17003,180,60
d94c8bbf-477f-45d5-be6e-c25963c706a9,37,a1e2604f-8152-4263-9f07-c679404b7388,DQS2954260EQ,2025/3/25,0f9a18e6-9c5a-48ec-9dce-762999ccefe1,商品本体　お食事エプロン　トラ,rec7J4fctwb7CReZy,PO-0020,285.18,10552,80706,17003,2223,60
